family,case,elapsed_ns,pending_duplicate_objects,pending_duplicate_bytes,cross_batch_skipped_objects,cross_batch_skipped_bytes,conflict_read_ns,sql_commit_ns,total_count,sql_returned_ids,slab_consumer_idle_ns,slab_send_blocked_ns,direct_pipeline_wall_ns,producer_blocked_max_ns,user_cpu_ns,system_cpu_ns,lifetime_peak_rss_bytes,sampled_rss_peak_bytes,store_allocated_bytes,raw_path,sha256
dedup_cross_file,dedup-cross-file-anchor-1,6535916,10,804,0,0,10794,1372375,1,79,1763083,0,3050250,0,6719208,19571916,16203776,15073280,1130496,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cross_file/dedup-cross-file-anchor-1/perf.jsonl,9920081c5275f66148d0e0bb5e53c2cfdb9c84b595dc5690b501cabc8c436248
dedup_cross_file,dedup-cross-file-identical-10,16416667,165,2167321,392,7304773,1475164,1429125,1,79,8733913,1839001,13847333,1130000,21889167,24138583,17645568,16515072,1130496,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cross_file/dedup-cross-file-identical-10/perf.jsonl,25a3162296cdf8ac5c8c847cebbdfa65b846cf1db3da34515c955febfc0103f4
dedup_cross_file,dedup-cross-file-identical-100,33070916,2150,32497926,3849,71684744,1792295,1435083,1,79,10679414,25445956,29774416,3868375,161482542,46688416,22183936,21282816,1134592,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cross_file/dedup-cross-file-identical-100/perf.jsonl,1d25e62f30a7579716478a62046854543b4f2bcf6687355714b7ee360cb0593e
dedup_cross_file,dedup-cross-file-identical-500,110658375,8282,120414698,21717,404688372,1855870,1454583,1,90,33032112,23021962,105356500,3420000,765854208,126979958,24412160,23248896,1167360,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cross_file/dedup-cross-file-identical-500/perf.jsonl,bb9b45fd459a63c7aa3adfb0d0258fe113388a7d4d77218294a639e6c62b1838
dedup_cross_file,dedup-cross-file-mixed-10,30141292,30,166116,164,2991989,4450087,10452166,2,425,1035288,11260542,23703167,8294041,34164625,32150250,30408704,27279360,7503872,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cross_file/dedup-cross-file-mixed-10/perf.jsonl,e6e28547b57a7653cdd01fe3e994c55e82d5e05c48e6a94db8955138ed81135e
dedup_cross_file,dedup-cross-file-mixed-100,272581583,66,79689,1419,26228193,39606449,115720376,20,4303,1960498,1604995321,269352084,235228743,299587750,159423875,64274432,64159744,79691776,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cross_file/dedup-cross-file-mixed-100/perf.jsonl,f6c54c5eef75b984c807d83133bff27dc8009e8bd935946b99a4e343f0aaf16f
dedup_cross_file,dedup-cross-file-mixed-500,1270116125,170,114240,7097,131410444,209015185,456305756,96,21596,5470200,9085433498,1262635292,1156098699,1527388667,577868834,66764800,66781184,404824064,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cross_file/dedup-cross-file-mixed-500/perf.jsonl,3956085af0a3685afb7726f662a09182353a43530653ea481e763e411056c624
dedup_cross_file,dedup-cross-file-unique-10,34688083,14,1162,3,223,87666,15377207,3,597,1097663,16056084,29461250,14050375,33462125,37694209,34324480,34340864,10682368,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cross_file/dedup-cross-file-unique-10/perf.jsonl,37d60be63539bf358c12293a4f810740235c47da71fd4caff22842312f94fb88
dedup_cross_file,dedup-cross-file-unique-100,314164833,7,581,52,4290,340665,155723043,26,5733,2101095,1887365051,308601709,279452500,307184250,200197250,64159744,64176128,106196992,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cross_file/dedup-cross-file-unique-100/perf.jsonl,afd4ef9b1bd5f6ae91615119fd687b96b39df1c9c3233c9974c8c0308707157f
dedup_cross_file,dedup-cross-file-unique-500,1371293709,4,358,55,4513,1460576,597284251,128,28801,7372743,9871142413,1363137209,1254576672,1519275500,704223250,67092480,67108864,532000768,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cross_file/dedup-cross-file-unique-500/perf.jsonl,72aff7767d977f6cf5e93db1be4f36e5d79bd87c66cf243ca7cc63a2e654ec8b
