family,case,timer,baseline_elapsed_ns,g0_elapsed_ns,difference_ns,difference_percent,slowdown_factor,g1_diagnostic_elapsed_ns,baseline_source,g0_source,g0_verification,baseline_evidence,g0_evidence
dedup_cross_file,dedup-cross-file-mixed-10,pure_call_sum_ns,24046375,34914167,10867792,45.195136481070435,1.4519513648107043,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/dedup_cross_file/dedup-cross-file-mixed-10/perf.jsonl,raw/generations/g0/performance/dedup_cross_file/dedup-cross-file-mixed-10/perf.jsonl
store_footprint,store-footprint-large-object-10m-low-v1,product_call_sum_ns,43893543,62524460,18630917,42.4456895630412,1.424456895630412,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/store_footprint/store-footprint-large-object-10m-low-v1/perf.jsonl,raw/generations/g0/performance/store_footprint/store-footprint-large-object-10m-low-v1/perf.jsonl
dedup_cdc_locality,dedup-cdc-common-body-10,pure_call_sum_ns,20395333,28841750,8446417,41.413479250375566,1.4141347925037557,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/dedup_cdc_locality/dedup-cdc-common-body-10/perf.jsonl,raw/generations/g0/performance/dedup_cdc_locality/dedup-cdc-common-body-10/perf.jsonl
tiny_file_churn,tiny-stat-500-mixed-v4,pure_call_sum_ns,55349375,76411501,21062126,38.05305118621484,1.3805305118621485,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/tiny_file_churn/tiny-stat-500-mixed-v4/perf.jsonl,raw/generations/g0/performance/tiny_file_churn/tiny-stat-500-mixed-v4/perf.jsonl
dedup_branch_history,dedup-history-recurring-500,pure_call_sum_ns,2145416191,2910977735,765561544,35.68359124031613,1.3568359124031613,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/dedup_branch_history/dedup-history-recurring-500/perf.jsonl.gz,raw/generations/g0/performance/dedup_branch_history/dedup-history-recurring-500/perf.jsonl
directory_construction_traversal,directory-content-scan-500-mixed-v4,pure_call_sum_ns,3906595000,5275265667,1368670667,35.0348747950581,1.350348747950581,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/directory_construction_traversal/directory-content-scan-500-mixed-v4/perf.jsonl,raw/generations/g0/performance/directory_construction_traversal/directory-content-scan-500-mixed-v4/perf.jsonl
directory_construction_traversal,directory-construct-1-compact-v2,pure_call_sum_ns,17022374,22701626,5679252,33.36345447468138,1.3336345447468139,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/directory_construction_traversal/directory-construct-1-compact-v2/perf.jsonl,raw/generations/g0/performance/directory_construction_traversal/directory-construct-1-compact-v2/perf.jsonl
payload_create_read,payload-create-500m,pure_call_sum_ns,3068249542,4051680834,983431292,32.05186796374335,1.3205186796374335,3825552959,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/payload_create_read/payload-create-500m/perf.jsonl,raw/generations/g0/performance/payload_create_read/payload-create-500m/perf.jsonl
workspace_change_locality,workspace-fixed-move-500-mixed-v4,pure_call_sum_ns,27589207,36403333,8814126,31.947732314306823,1.3194773231430683,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/workspace_change_locality/workspace-fixed-move-500-mixed-v4/perf.jsonl,raw/generations/g0/performance/workspace_change_locality/workspace-fixed-move-500-mixed-v4/perf.jsonl
dedup_branch_history,dedup-history-recurring-1,pure_call_sum_ns,21456208,28300541,6844333,31.899080210258962,1.3189908021025896,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/dedup_branch_history/dedup-history-recurring-1/perf.jsonl,raw/generations/g0/performance/dedup_branch_history/dedup-history-recurring-1/perf.jsonl
tiny_file_churn,tiny-create-100-mixed-v4,pure_call_sum_ns,53616291,70117042,16500751,30.775629369812247,1.3077562936981224,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/tiny_file_churn/tiny-create-100-mixed-v4/perf.jsonl,raw/generations/g0/performance/tiny_file_churn/tiny-create-100-mixed-v4/perf.jsonl
workspace_change_locality,workspace-fixed-move-1-compact-v2,pure_call_sum_ns,19708292,25695959,5987667,30.38146075773588,1.303814607577359,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/workspace_change_locality/workspace-fixed-move-1-compact-v2/perf.jsonl,raw/generations/g0/performance/workspace_change_locality/workspace-fixed-move-1-compact-v2/perf.jsonl
namespace_mutation,namespace-subtree-relocate-delete-100-mixed-v4,pure_call_sum_ns,51018082,66476375,15458293,30.299635725231692,1.3029963572523169,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/namespace_mutation/namespace-subtree-relocate-delete-100-mixed-v4/perf.jsonl,raw/generations/g0/performance/namespace_mutation/namespace-subtree-relocate-delete-100-mixed-v4/perf.jsonl
