base_kind,base_role,selected_fan_in_bin,unique_bases_count,physical_references_count,selected_references_count,population,snapshot,provenance,status
FULL,inode_table_leaf,0..1,4575,4575,4575,unique referenced selected bases; fixed selected-reference histogram,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#dependency_fan_in,derived
FULL,inode_table_leaf,2..4,4,8,8,unique referenced selected bases; fixed selected-reference histogram,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#dependency_fan_in,derived
NATIVE_FULL,payload_chunk,0..1,14301,14301,14301,unique referenced selected bases; fixed selected-reference histogram,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#dependency_fan_in,derived
NATIVE_FULL,payload_chunk,2..4,2371,5049,5049,unique referenced selected bases; fixed selected-reference histogram,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#dependency_fan_in,derived
NATIVE_FULL,payload_chunk,5..16,11,63,63,unique referenced selected bases; fixed selected-reference histogram,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#dependency_fan_in,derived
NATIVE_PREFIX,payload_chunk,0..1,27015,27015,27015,unique referenced selected bases; fixed selected-reference histogram,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#dependency_fan_in,derived
NATIVE_PREFIX,payload_chunk,17..64,1,24,24,unique referenced selected bases; fixed selected-reference histogram,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#dependency_fan_in,derived
NATIVE_PREFIX,payload_chunk,2..4,5457,11716,11716,unique referenced selected bases; fixed selected-reference histogram,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#dependency_fan_in,derived
NATIVE_PREFIX,payload_chunk,5..16,26,138,138,unique referenced selected bases; fixed selected-reference histogram,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#dependency_fan_in,derived
