use_class,kind,objects_count,canonical_bytes,population,snapshot,provenance,status
file_only,NATIVE_FULL,28106,195941878,unique selected payload chunks; overlapping file/metadata uses represented once in combined class,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#retained inode-content and metadata-value edges,derived
file_only,NATIVE_PREFIX,58306,509220935,unique selected payload chunks; overlapping file/metadata uses represented once in combined class,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#retained inode-content and metadata-value edges,derived
metadata_only,FULL,5,141,unique selected payload chunks; overlapping file/metadata uses represented once in combined class,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#retained inode-content and metadata-value edges,derived
