source_scope,kind,base_kind,base_role,physical_references_count,unique_bases_count,source_canonical_bytes,cross_pack_count,cross_group_count,population,snapshot,provenance,status
logical_retained,DELTA,FULL,inode_table_leaf,4583,4579,26706676,4583,4583,physical dependency references by source scope; unique bases not additive across rows,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#records[selected base locators],derived
logical_retained,NATIVE_PREFIX,NATIVE_FULL,payload_chunk,19413,16683,155243143,19413,19413,physical dependency references by source scope; unique bases not additive across rows,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#records[selected base locators],derived
logical_retained,NATIVE_PREFIX,NATIVE_PREFIX,payload_chunk,38893,32499,353977792,38893,38893,physical dependency references by source scope; unique bases not additive across rows,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#records[selected base locators],derived
