source,root_rows_count,unique_roots_count,population,snapshot,provenance,status
commits,157,157,collected retained-root rows by source; unique roots across sources are not additive,final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
layers,1,1,collected retained-root rows by source; unique roots across sources are not additive,final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
workspace_stages,0,0,collected retained-root rows by source; unique roots across sources are not additive,final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
