arm,step,source_sha,created,commit_id,exec_ns,commit_ns,paired_ns,allocated_bytes,logical_bytes,growth_bytes,transfer_ns,exec_cpu_ns,commit_cpu_ns,verification_step_wall_ns,verified_entries,verified_bytes
v014,1,ca4e1c3a1c61129bd95ee57dd744bc53c2e635bb,True,1268ebcd9f2fc84adc80acea37de2e2dec609eaacf0b7efd14732c2ba8fa459274,151556125,30421000,181977125,757760,757760,688128,226426125,3229708,36063083,189454000,359,1499109
v014,2,2a48b31306ce7dac8d0ae598a78fa7605a193f3d,True,1215d9bf4310176fe480b5e406d68e7f3c07fcaa12aef1a8688aaf93d3b6762a70,841604125,152425666,994029791,5279744,4427776,5210112,374945375,68632125,147294542,821978250,1742,9776685
v014,3,e29db14566644cc651c02b802a2ad22d06479c9f,True,12a10bb1b35c8f95eeb4cda1f6d02e6bf79ef521294dabbdfc1112b76be54b1633,1694136542,267131833,1961268375,8425472,8110080,8355840,544856208,322203834,260595542,1171824041,2644,15073486
v014,4,89d4643c26e964f5363c0bce38ae82300b86756a,True,1277958a5bcc00538f1268a6892c6ccc9c9510828253c276bbcc2b0aa9fd4b2740,2382873166,386858417,2769731583,13668352,13557760,13598720,642973875,457111333,387275833,1661903291,4275,22364863
v014,5,9e6f251a4c0e9a978a11e192e7b9421e82ded984,True,126d47c7364a0feec5afaf4c841d2052edae278ecbe7917b83f274bc270a3e0daa,3440974416,552607834,3993582250,19959808,19910656,19890176,745411459,796840417,547795001,2119042458,5880,29109246
v014,6,7248b5ec8f8769f882f12fd521504fa48e97bcf3,True,129b808aea2a6dc983e01be985d7e1601313cfe0f8d69913b1aa5d9556d61279e5,2773752084,504809750,3278561834,25202688,24915968,25133056,644671625,625536000,511943541,2602068834,6752,36405983
v014,7,5ba7455091ba046c9b89cf550e0ea4fb63e4e227,True,127497924f74d7eca0df25d0578d2a1ca1084e5bd2a5c528e7297b771af3331bd3,4885672334,839752792,5725425126,34639872,33869824,34570240,837032708,1079763583,870376043,3442235959,7656,42587599
v014,8,37247ea70544de047143bf6d274c4dd48511e79c,True,12ddcb853d93b0a154ef777eef014d2a7f85f70d95eed59e674b7554dc5d62a32c,5683601958,1016186667,6699788625,43028480,42975232,42958848,1045371541,1316241125,1014054167,4173180750,8567,48605608
v014,9,6770f76fdaf93c5745e5f5581546eab49a11667d,True,126b211568ff8d0b9133663a1f795501af08632158b7df680c11021d8788a5f528,6195948542,1283256875,7479205417,54562816,54312960,54493184,1100604917,1387078166,1256718126,5002284250,10061,57441764
v014,10,b0a7d2ce3b4c19d7452e364b2d7acbfa87e707ed,True,125db23ab63e10f04eddda33bf0281d05114a1def72b730b15a48d087ffe1f2d10,7579190042,1253269792,8832459834,67145728,67104768,67076096,1212032291,1971175375,1311949291,5127603834,10924,65020822
v015,1,ca4e1c3a1c61129bd95ee57dd744bc53c2e635bb,True,12d5dcfbfb83b2e056ceb0b34ed2fbabc69ecb0ced1f4a96d780d96a7ec4a6b8ae,152755042,33685917,186440959,700416,700416,630784,322269875,3753875,33591291,177840333,359,1499109
v015,2,2a48b31306ce7dac8d0ae598a78fa7605a193f3d,True,12c8a3cc368341280a49dca867f7f31363939889eea7d08d0f16a573725853a0c4,869840708,131989792,1001830500,4239360,4050944,4169728,375331584,68161959,126800292,779352209,1742,9776685
v015,3,e29db14566644cc651c02b802a2ad22d06479c9f,True,1268ee772d74c05e92f29b5ebf031cbfcaebbd94da05b638e171db318d76cef550,1594632250,227200959,1821833209,7385088,7348224,7315456,543633292,307378542,218112750,1094399459,2644,15073486
v015,4,89d4643c26e964f5363c0bce38ae82300b86756a,True,12774c6f60dde716cbd2f4dd1ee47950bf6d0e624c7fc9feddd122b2212d928fc7,2370952292,379269667,2750221959,12627968,12480512,12558336,649197417,388396251,354579500,1701578125,4275,22364863
v015,5,9e6f251a4c0e9a978a11e192e7b9421e82ded984,True,123deee238d013c42e11c010491a96903406c61bfd057235842e48a990873dfe9d,3130723166,499534875,3630258041,18919424,18743296,18849792,690575417,650275167,482290292,2139737500,5880,29109246
v015,6,7248b5ec8f8769f882f12fd521504fa48e97bcf3,True,1281bb90179d3a42fca0d8f3e11f1787dc4986fad30dfd381bd7ba50682f65a3cc,2833837541,472432375,3306269916,24162304,24006656,24092672,582933125,728788125,459105834,2297118667,6752,36405983
v015,7,5ba7455091ba046c9b89cf550e0ea4fb63e4e227,True,121732c526cb4209398e7d6cce92d41eca5219667bf086b5768288e145eac08392,4999726625,821521250,5821247875,33599488,32571392,33529856,896506125,1225704416,800700458,2692433041,7656,42587599
v015,8,37247ea70544de047143bf6d274c4dd48511e79c,True,12d71dba99360f01fb1689720cb3bfeb4aae2087179f239b2558c08a13fd2adf5f,5844958875,917773917,6762732792,41988096,41648128,41918464,1045503500,1343829042,904966916,2993679000,8567,48605608
v015,9,6770f76fdaf93c5745e5f5581546eab49a11667d,True,12a6376923b6b8ebdcae7455d2ad63afeea336b48d20ec368aa02f62efe490ded0,6760368208,1047684375,7808052583,52473856,52453376,52404224,1100914042,1517155125,1020587542,3683987667,10061,57441764
v015,10,b0a7d2ce3b4c19d7452e364b2d7acbfa87e707ed,True,12adac5924f623d33be4ef909dfd6ae7469aa2a39116061117bf01baa845baaf4d,7510265708,1275150291,8785415999,66105344,65572864,66035712,1142722792,1948779541,1226561667,4126203667,10924,65020822
