source_scope,kind,base_kind,base_role,physical_references_count,unique_bases_count,source_canonical_bytes,cross_pack_count,cross_group_count,population,snapshot,provenance,status
logical_retained,DELTA,FULL,inode_table_leaf,4647,4642,26640628,4647,4647,physical dependency references by source scope; unique bases not additive across rows,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records[selected base locators],derived
logical_retained,DELTA,FULL,payload_chunk,63989,12630,567996834,63989,63989,physical dependency references by source scope; unique bases not additive across rows,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records[selected base locators],derived
