base_kind,base_role,selected_fan_in_bin,unique_bases_count,physical_references_count,selected_references_count,population,snapshot,provenance,status
FULL,inode_table_leaf,0..1,4637,4637,4637,unique referenced selected bases; fixed selected-reference histogram,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#dependency_fan_in,derived
FULL,inode_table_leaf,2..4,5,10,10,unique referenced selected bases; fixed selected-reference histogram,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#dependency_fan_in,derived
FULL,payload_chunk,0..1,3409,3409,3409,unique referenced selected bases; fixed selected-reference histogram,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#dependency_fan_in,derived
FULL,payload_chunk,17..64,544,13607,13607,unique referenced selected bases; fixed selected-reference histogram,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#dependency_fan_in,derived
FULL,payload_chunk,2..4,4572,12805,12805,unique referenced selected bases; fixed selected-reference histogram,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#dependency_fan_in,derived
FULL,payload_chunk,5..16,4101,33814,33814,unique referenced selected bases; fixed selected-reference histogram,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#dependency_fan_in,derived
FULL,payload_chunk,65..256,4,354,354,unique referenced selected bases; fixed selected-reference histogram,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#dependency_fan_in,derived
